blocker_id,blocked_id
1,2119
2,493
2,564
2,552
2,1086
3,1847
3,1724
4,635
4,548
4,1301
4,25
4,810
4,1469
4,48
4,1501
5,921
5,39
5,1013
5,1733
5,1304
5,2414
5,283
5,1275
6,2499
6,1
6,59
7,284
7,619
7,429
8,1986
8,557
8,1993
8,2259
8,1543
9,126
9,1123
9,277
9,1874
10,212
10,1355
10,2135
10,1167
10,426
10,361
10,2478
11,1503
11,94
11,1891
11,2093
11,2104
11,992
12,1979
12,895
12,1918
12,2197
12,1983
12,640
12,884
12,1780
12,2210
13,826
13,940
13,2087
13,592
14,2063
14,2313
14,1341
14,603
14,2379
15,1678
15,938
15,752
16,2416
16,179
16,1837
16,487
16,1555
16,2427
16,611
16,380
16,2298
17,625
17,1195
18,1019
18,562
19,881
19,1391
19,2059
19,1440
20,2347
21,1929
21,1864
22,2006
22,2363
22,2495
22,743
22,2236
22,126
22,1282
22,1831
23,2283
23,63
23,2017
24,170
24,1317
24,485
24,1635
24,2143
24,989
25,1534
25,560
25,185
25,2420
25,687
25,836
26,2213
27,1567
27,2148
27,1048
27,2174
27,2071
27,2014
27,1038
27,2335
28,1541
28,1742
28,2137
28,1016
28,1722
28,2207
29,1261
29,503
29,969
29,2497
29,1430
30,1685
30,1708
30,640
30,2274
31,2496
31,2352
31,1896
31,2212
31,556
31,1447
31,916
31,1675
31,1559
32,2167
32,720
32,2072
32,1859
32,150
32,1031
33,99
33,671
33,1659
33,2094
33,1500
33,1422
34,1403
34,968
34,2346
34,501
34,341
34,525
34,2074
34,1073
34,952
34,483
35,437
35,1600
35,1950
35,1709
35,939
35,2383
35,1740
35,970
36,236
36,1745
36,316
36,1219
36,1363
37,1331
37,2439
37,1894
37,2270
37,1782
37,898
38,399
38,94
38,1126
38,1734
38,490
38,2442
38,757
39,1727
39,1573
39,1878
39,1245
39,483
39,2336
39,637
40,962
40,2484
40,135
40,830
40,1262
40,2437
40,1924
41,858
41,2434
41,835
41,1017
41,842
41,2052
42,2359
42,1279
42,1973
42,1623
43,937
43,806
43,69
43,817
43,1608
43,591
44,2272
44,1233
45,1118
45,2233
46,297
46,327
46,1929
46,1864
47,1427
47,2031
47,2485
48,2053
48,1488
48,1129
48,323
49,1518
49,1281
49,1736
49,1062
49,627
50,30
51,706
51,712
52,962
53,1428
53,76
53,825
53,2097
53,1249
54,284
54,2212
55,1387
55,2244
55,2383
55,507
55,1798
55,1234
55,2335
55,1559
55,35
55,785
56,1634
56,2045
56,2301
57,1930
57,1992
57,1068
57,2240
57,273
57,1471
57,546
57,1936
57,1893
57,2260
58,214
58,1078
59,669
59,5
60,174
60,1181
60,2412
60,2038
61,1768
61,499
61,2204
62,2317
62,2196
62,412
62,669
62,1795
63,1985
63,2320
63,1264
63,859
63,1770
63,1011
63,1618
63,1815
64,1897
64,228
64,477
64,1243
64,1833
64,502
64,1005
64,1945
65,1441
65,394
65,535
65,469
65,2410
65,1349
65,830
66,4
66,443
66,1052
66,1858
66,2403
67,777
67,2295
67,1365
67,1093
67,881
67,1658
67,388
68,243
68,1315
68,1422
68,2328
68,508
69,2092
69,2378
69,1392
69,2180
69,2464
69,556
69,819
70,1454
70,1152
70,326
70,802
71,1588
71,1906
71,104
71,688
71,388
71,768
71,765
71,2239
71,1801
72,1837
73,1767
73,2092
73,2036
73,1361
73,988
73,1547
73,840
73,1057
73,497
73,1535
74,2056
74,2470
74,1654
74,1667
74,1606
74,776
74,2479
74,1027
74,588
75,1509
76,367
76,1850
76,2473
76,2042
76,1990
76,1372
76,1218
77,1423
77,975
77,312
77,568
78,1917
78,2379
78,59
78,2306
78,694
78,2028
78,904
79,2243
79,219
79,495
79,1007
79,742
80,2034
80,355
80,563
80,452
81,1631
81,590
81,2252
82,2490
82,999
82,2083
82,1527
82,659
82,2038
82,962
82,1595
82,2269
83,2145
83,1864
83,1738
83,397
83,2112
83,111
83,2329
83,259
83,1647
83,1087
84,1844
84,2371
84,1028
84,807
84,1183
84,1782
84,318
85,2424
85,2354
85,1736
85,886
85,257
86,902
86,327
87,233
87,427
87,2244
87,2105
87,1617
87,1738
87,1972
87,2319
88,924
88,1686
89,2262
90,1661
90,2187
90,1156
90,984
90,2304
90,1153
91,607
91,1809
91,2292
91,2130
91,323
91,2477
91,2250
91,1199
91,1380
92,2356
93,456
93,876
93,457
93,2262
93,2394
93,1547
93,1028
94,1444
94,831
94,717
94,1523
94,1674
94,995
95,557
95,1471
95,526
95,26
96,1567
97,1824
97,2094
97,1882
97,1949
97,597
97,1751
97,836
97,728
97,2080
97,385
98,1165
98,829
98,514
98,166
99,2018
99,558
99,523
99,2217
100,1228
101,2473
102,503
102,21
102,1623
102,2144
102,253
103,2457
103,1623
103,1096
103,1786
103,2000
103,1687
103,2107
104,96
104,68
104,1799
104,2219
104,1700
105,65
105,1994
105,951
105,2234
105,1256
105,1778
106,331
106,497
106,2288
106,694
106,367
106,919
107,2309
107,1518
107,1010
107,1128
107,432
108,1814
108,652
108,761
108,765
108,117
108,2037
108,23
109,551
109,624
109,2328
109,823
109,1787
109,168
109,399
110,2081
110,137
110,721
111,1732
111,766
111,1098
111,1663
111,2276
111,1382
112,151
112,1620
112,1340
112,2245
113,282
113,965
113,87
113,2279
113,2314
113,2467
113,2359
113,2450
113,1123
114,494
114,180
114,2277
114,1758
114,134
114,11
114,601
114,1312
114,691
114,1414
115,966
115,384
115,120
115,2036
115,25
115,827
115,751
115,799
116,568
116,1932
116,306
116,1026
116,837
116,147
116,358
116,2412
117,1164
117,1269
117,2036
117,1657
117,2012
117,435
117,1604
117,2067
117,2120
117,1620
118,1668
118,1032
118,2202
118,745
118,1570
118,2106
118,2006
119,2423
119,996
119,526
119,598
119,585
120,1472
120,312
120,1400
120,1213
120,185
120,1460
121,1047
121,995
121,1892
121,923
121,2028
121,488
122,2077
122,166
123,1991
123,1151
123,367
123,198
123,2137
123,513
124,1232
124,1207
124,1097
124,1188
124,2253
125,1311
125,41
125,2046
125,1105
125,239
125,954
125,622
125,469
125,484
126,1273
126,2060
126,51
126,1549
126,1700
126,1344
126,1377
126,1371
126,2242
127,766
127,2475
127,548
127,1204
127,363
127,349
127,1091
127,1852
128,1993
128,2259
128,527
129,1189
129,1603
129,1842
129,457
129,1225
129,2281
129,958
129,1654
129,1478
130,2203
131,694
131,1091
131,58
131,2265
131,1628
131,596
131,2413
131,452
132,1362
132,2142
132,602
132,2457
132,36
133,2458
133,843
133,813
133,2047
133,486
133,368
133,830
134,342
134,1108
134,2245
134,732
134,1850
134,1534
134,1512
134,33
134,1812
135,288
135,157
135,1884
135,2337
135,240
135,1071
135,893
135,454
136,1354
136,1138
136,878
136,1206
136,1518
136,925
136,1362
136,43
137,1521
138,709
138,1920
138,2339
138,2278
138,153
139,1546
140,672
140,933
140,643
140,787
140,1836
140,798
140,1003
140,1135
141,2099
142,1454
142,2362
142,1858
143,457
143,2024
144,1666
144,267
144,1610
144,2237
145,1465
145,1145
145,22
145,501
146,741
146,801
146,1577
146,1694
147,250
147,2489
147,734
147,496
147,366
147,2279
147,1895
147,2418
148,920
148,813
148,1201
148,1966
148,2475
148,1231
148,710
148,1414
149,439
149,20
149,687
149,2004
150,387
150,53
150,2026
150,1411
150,1739
150,683
150,470
150,1779
151,117
151,2427
151,978
151,1378
151,255
152,431
153,2423
153,2112
153,485
153,277
153,2321
153,1998
153,1437
153,1456
153,2379
153,2250
154,1417
154,2267
154,627
154,688
154,163
154,259
154,416
154,400
155,73
155,1850
155,108
155,2242
156,1306
156,953
156,2080
157,828
157,902
157,1196
157,133
158,326
158,2079
158,2126
158,1484
158,1834
159,1378
159,819
160,2026
160,2137
160,98
160,889
160,536
160,130
160,618
160,2235
160,1765
161,541
161,197
161,287
161,1951
162,622
162,951
162,488
162,2440
162,2081
162,1954
163,1249
164,49
164,789
164,585
165,1714
165,1288
165,2287
165,1248
165,1930
165,1029
165,1482
165,1690
165,664
166,636
166,1482
167,287
168,1101
168,343
168,1579
168,489
168,407
168,1527
169,2148
169,523
169,382
169,2045
169,1848
169,2273
169,1419
169,2139
169,1930
169,1346
170,8
170,258
170,199
170,1966
170,1796
170,276
170,117
170,653
170,2383
171,2441
171,2418
171,2049
171,2102
171,2255
171,4
171,2282
171,617
172,2450
172,517
172,215
172,513
172,1613
173,272
173,367
174,2066
174,2205
174,222
174,2456
174,633
175,757
176,1628
176,1378
176,1090
176,1153
176,613
176,139
177,529
177,2179
177,174
177,428
177,649
178,2430
178,2467
178,420
178,1262
178,797
178,1306
179,1221
179,1182
179,1300
179,407
179,520
179,1374
179,1215
180,2003
180,2426
180,101
180,1185
180,2336
180,1956
180,1603
181,1337
181,1035
181,567
181,911
182,807
182,650
183,1900
183,1296
183,1773
184,1013
184,2029
184,1222
184,2307
184,2192
184,1008
184,392
185,1959
185,1462
186,2060
187,2227
187,306
188,1864
188,370
188,1793
189,1743
189,868
189,2256
190,1457
190,348
190,1518
190,1149
190,208
190,225
190,2359
190,1884
190,1717
190,541
191,651
192,18
192,2031
192,1670
192,2147
192,2275
192,957
192,1033
192,685
192,1355
193,1285
194,710
194,302
194,818
194,296
194,2091
195,2442
195,2277
195,817
195,615
195,423
196,46
196,2226
196,914
197,1559
197,248
197,1191
197,2173
198,767
198,1933
198,127
198,351
198,559
198,1504
198,527
199,2126
200,993
200,2023
200,580
200,1419
200,361
200,1333
201,2386
201,1426
201,790
201,1685
201,794
201,1969
202,2316
202,2197
202,908
203,555
203,1225
203,626
203,2074
203,2126
203,190
203,2096
203,506
204,1457
204,1155
204,1085
204,1221
205,263
205,262
205,1563
205,2369
205,2495
205,577
205,1159
205,992
205,381
205,398
206,1667
206,535
206,2243
206,309
206,1669
207,2138
208,805
208,2187
209,990
209,338
209,1855
209,1007
209,365
209,2332
210,829
210,1758
211,1350
211,797
211,1788
211,690
212,205
212,319
212,1448
212,849
212,699
213,104
213,1062
213,122
