meeting_id,user_id
1,1
1,492
2,1
2,2303
3,1
3,1367
4,1
4,686
5,1
5,99
6,1
6,2359
7,1
7,962
8,1
8,347
9,1
9,2394
10,1
10,1405
11,1
11,2097
12,1
12,1903
13,1
13,1726
14,1
14,2305
15,1
15,34
16,1
16,113
17,1
17,1585
18,1
18,1970
19,1
19,1958
20,1
20,2244
21,1
21,1470
22,1
22,409
23,1
23,1882
24,1
24,690
25,1
25,411
26,1
26,1158
27,1
27,2446
28,1
28,1646
29,1
29,2265
30,1
30,1512
31,1
31,697
32,1
32,2166
33,1
33,1710
34,1
34,772
35,1
35,1939
36,1
36,1791
37,1
37,2242
38,1
38,693
39,1
39,1006
40,1
40,1257
41,1
41,2343
42,1
42,346
43,1
43,2004
44,1
44,517
45,1
45,2110
46,1
46,2081
47,1
47,1822
48,1
48,2457
49,1
49,851
50,1
50,271
51,1
51,1339
52,1
52,1479
53,2
53,1717
54,2
54,468
55,2
55,1566
56,2
56,1413
57,2
57,209
58,2
58,2367
59,2
59,2140
60,2
60,178
61,2
61,1289
62,2
62,439
63,2
63,1849
64,2
64,1843
65,2
65,2373
66,2
66,2347
67,2
67,800
68,2
68,2217
69,2
69,2392
70,2
70,1631
71,2
71,156
72,2
72,671
73,2
73,482
74,2
74,188
75,2
75,787
76,2
76,1932
77,2
77,2160
78,2
78,1995
79,2
79,1350
80,2
80,224
81,2
81,1587
82,2
82,857
83,2
83,1211
84,2
84,545
85,2
85,830
86,2
86,2421
87,2
87,2187
88,2
88,1898
89,2
89,1613
90,2
90,973
91,2
91,358
92,2
92,685
93,2
93,57
94,2
94,1567
95,2
95,868
96,2
96,2058
97,2
97,1724
98,2
98,711
99,2
99,1135
100,2
100,2189
101,2
101,2343
102,2
102,638
103,2
103,231
104,2
104,1281
105,2
105,2479
106,2
106,1708
107,2
107,1698
108,2
108,1017
109,2
109,80
110,2
110,1828
111,2
111,722
112,2
112,860
113,2
113,406
114,2
114,984
115,2
115,1356
116,2
116,2102
117,2
117,285
118,2
118,154
119,2
119,1838
120,2
120,688
121,2
121,2393
122,2
122,2354
123,2
123,570
124,2
124,1764
125,2
125,1355
126,2
126,2172
127,2
127,703
128,2
128,2341
129,2
129,1248
130,2
130,2219
131,2
131,1646
132,2
132,1266
133,2
133,1644
134,2
134,290
135,2
135,1988
136,2
136,282
137,2
137,291
138,2
138,267
139,2
139,11
140,2
140,732
141,2
141,2406
142,3
142,568
143,3
143,285
144,3
144,768
145,3
145,2490
146,3
146,976
147,3
147,968
148,3
148,176
149,3
149,1839
150,3
150,1498
151,3
151,1531
152,3
152,2064
153,3
153,868
154,3
154,1342
155,3
155,2057
156,3
156,71
157,3
157,1256
158,3
158,358
159,3
159,1573
160,3
160,1368
161,3
161,1008
162,3
162,2116
163,3
163,2121
164,3
164,2138
165,3
165,2316
166,3
166,1777
167,3
167,1333
168,3
168,642
169,3
169,896
170,3
170,2105
171,3
171,177
172,3
172,1738
173,3
173,1481
174,3
174,1217
175,3
175,1643
176,3
176,96
177,3
177,1817
178,3
178,66
179,3
179,2003
180,3
180,2497
181,3
181,1964
182,3
182,488
183,3
183,409
184,3
184,1624
185,3
185,283
186,3
186,907
187,3
187,2046
188,3
188,1943
189,3
189,2388
190,3
190,675
191,3
191,1206
192,3
192,476
193,3
193,1966
194,3
194,1130
195,3
195,938
196,3
196,1954
197,3
197,74
198,3
198,1463
199,3
199,921
200,3
200,917
201,4
201,1812
202,4
202,263
203,4
203,633
204,4
204,1707
205,4
205,405
206,4
206,2296
207,4
207,1074
208,4
208,2205
209,4
209,69
210,4
210,2065
211,4
211,1065
212,4
212,2307
213,4
213,738
214,4
214,2225
215,4
215,1018
216,4
216,2129
217,4
